127.0.0.1 - - [03/Sep/2019:20:59:05 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/ HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/dist/css/sb-admin-2.css HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/dist/js/sb-admin-2.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/login/scripts.js HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/login/jquery.backstretch.min.js HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/login/img/backgrounds/2.jpg HTTP/1.1" 200 231555
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:10 +0800] "GET /giit/bower_components/login/img/backgrounds/1.jpg HTTP/1.1" 200 437432
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [03/Sep/2019:20:59:22 +0800] "POST /giit/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:16 +0800] "POST /giit/login HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:16 +0800] "GET /giit/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 8058
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:16 +0800] "GET /giit/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:16 +0800] "GET /giit/bower_components/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 200 81702
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:17 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:17 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 200 112160
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:20 +0800] "GET /giit/main.do/admin HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:20 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:20 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:21 +0800] "GET /giit/main.do/admin HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:21 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:22 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:22 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:24 +0800] "GET /giit/role.do/role.view HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:25 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:26 +0800] "GET /giit/user.do/user_add.view HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:26 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:41 +0800] "POST /giit/user.do/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:41 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:43 +0800] "GET /giit/user.do/user_add.view HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:49 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:50 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:59 +0800] "GET /giit/user.do/delete?id=%E4%BA%A6%E5%8F%AF HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:00:59 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:00 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:01 +0800] "GET /giit/main.do/admin HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:02 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:02 +0800] "GET /giit/role.do/role.view HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:02 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:03 +0800] "GET /giit/role.do/role.view HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:03 +0800] "GET /giit/role.do/role.view HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:04 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:04 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:05 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:05 +0800] "GET /giit/role.do/role.view HTTP/1.1" 200 9383
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:05 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:06 +0800] "GET /giit/dept.do/dept.view HTTP/1.1" 200 9604
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:07 +0800] "GET /giit/user.do/user.view HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:07 +0800] "GET /giit/dept.do/dept.view HTTP/1.1" 200 9604
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:08 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:08 +0800] "GET /giit/dept.do/dept.view HTTP/1.1" 200 9604
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:09 +0800] "GET /giit/spec.do/spec.view HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:09 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:09 +0800] "GET /giit/spec.do/spec.view HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:10 +0800] "GET /giit/clazz.do/clazz.view HTTP/1.1" 200 8152
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:11 +0800] "GET /giit/clazz.do/clazz.view HTTP/1.1" 200 8152
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:12 +0800] "GET /giit/course.do/course.view HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:13 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:13 +0800] "GET /giit/course.do/course.view HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:13 +0800] "GET /giit/section.do/section.view HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:14 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:14 +0800] "GET /giit/section.do/section.view HTTP/1.1" 200 8453
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:15 +0800] "GET /giit/student.do/student.view HTTP/1.1" 200 10154
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:15 +0800] "GET /giit/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:16 +0800] "GET /giit/student.do/student.view HTTP/1.1" 200 10154
0:0:0:0:0:0:0:1 - - [03/Sep/2019:21:01:19 +0800] "GET /giit/student.do/student.view HTTP/1.1" 200 10154
